"Control: 0,0","Control: 1,0","Control: 2,0","Control: 3,0","Control: 4,0","Control: 5,0","Control: 6,0","Control: 7,0","Control: 8,0","Control: 9,0","Control: 10,0"
0.07431412579043348,0.0010234863109809295,-0.09571356672492086,-0.13600259930587616,-0.1847620647656062,-0.2578730765755532,-0.29217636387980267,-0.3092392585014437,-0.32841962705992606,-0.3069416597466144,-0.2886447710640431
0.0488376152673783,-0.0035166984122445735,-0.08386321002411319,-0.13065595306825534,-0.18078992057604568,-0.2458170253240353,-0.2710778152050347,-0.28432946024482353,-0.2993861896912865,-0.28289077343526065,-0.2717040597521822
0.03129486948223909,-0.007493150932420866,-0.073419618370685,-0.12043651748759372,-0.16832938329788186,-0.2338592172662616,-0.2594995550303469,-0.2687583309189793,-0.27959683115944867,-0.26328423621072644,-0.2580120481617486
-0.0006688721619652979,-0.01955687213775394,-0.06899259736491652,-0.11649525561602407,-0.16084881962675163,-0.21267978471052948,-0.22970398142157172,-0.24123181260121784,-0.2530592112561649,-0.23997312169507,-0.23578536514519355
-0.031770666740483344,-0.03895294893798325,-0.0679867431109376,-0.106785841836872,-0.15378060576801122,-0.20012391935021256,-0.2166785883379024,-0.22487914541183815,-0.22466759911700002,-0.21330256060592634,-0.21424050439200323
-0.05599860087588678,-0.05906887591035789,-0.07108377520743485,-0.09563387675829836,-0.14375505543870307,-0.18171760593994848,-0.1922849981801327,-0.20171682385147496,-0.1972644285968787,-0.18573856953465614,-0.18974878957411886
-0.07655462005207586,-0.06964084483702826,-0.0651197311200927,-0.08417629852897467,-0.1318168379589158,-0.15857406595068058,-0.16604052485706325,-0.17893037367951514,-0.1730203157212453,-0.16595045655343948,-0.17396183216103908
-0.09548996301947994,-0.08142649089700171,-0.07149478789577472,-0.08273517723405689,-0.11487084860702007,-0.13047895830881806,-0.13757622948731132,-0.15331217706912298,-0.14871154498378264,-0.14569870351002603,-0.15201621053755215
-0.11830360048351463,-0.09393996415632162,-0.06550248061758082,-0.06829443644449193,-0.09387832650671536,-0.10061812597647878,-0.11388943929745539,-0.1341965475366398,-0.12782136496257807,-0.12917035305181357,-0.1349639687431509
-0.1288153746103026,-0.09953661092632435,-0.06198202181861578,-0.06214216967678196,-0.08218529638506558,-0.08007948885200905,-0.08720989859568729,-0.10520672931425314,-0.10775966599245757,-0.11447623041337136,-0.11749603349329676
-0.13970595602873317,-0.10380728042043355,-0.06357410694288167,-0.06318299218958404,-0.06456678554579882,-0.04826612620623851,-0.06177743105596894,-0.08201614535091516,-0.08824066870181713,-0.10268663212656627,-0.10207692985392061
-0.16231006380395022,-0.11482465177500087,-0.06006164214401905,-0.05630991286492862,-0.053025222548775015,-0.0339263933160791,-0.042993753516624135,-0.06022021021279865,-0.07282558233244711,-0.0904188350956987,-0.08987549444819126
-0.15994093183647667,-0.11239919548072766,-0.056003709595552974,-0.047558043198483724,-0.030182731773953073,-0.004295428140962727,-0.011929272092048346,-0.030592260643553037,-0.054001906551187424,-0.07962518379680056,-0.08482740796175127
-0.1790171669183785,-0.12322832566171492,-0.05663228678284341,-0.04118054498092436,-0.01542099778334393,0.007797537882359189,0.004126953187176217,-0.006270856839478812,-0.036925339588919165,-0.071155816513967,-0.07760117725494693
