"Control: 0,0","Control: 0,1","Control: 1,0","Control: 1,1","Control: 2,0","Control: 2,1","Control: 3,0","Control: 3,1","Control: 4,0","Control: 4,1","Control: 5,0","Control: 5,1","Control: 6,0","Control: 6,1","Control: 7,0","Control: 7,1","Control: 8,0","Control: 8,1","Control: 9,0","Control: 9,1","Control: 10,0","Control: 10,1"
-0.45917384144932744,0.8519624969072185,-0.4421158013207964,0.3980843852637842,-0.4586353171705975,-0.1776639087091057,-0.5223216734096279,-0.05345358657039586,-0.5220869060669042,0.029411715383551494,-0.35639393649266826,-0.25293118055319985,-0.19181201494786687,-0.34126227154191985,-0.23654806357919017,-0.19819737186497818,-0.3146758443253142,-0.1662676447439426,0.12390975699693395,-0.012010201399267036,0.04476575707795242,-0.2870841568124193
-0.3498706473566691,0.7986803495401893,-0.3537625983960651,0.3822973898890718,-0.41160354446127506,-0.1678263016665039,-0.47456453437895096,-0.10982216916495546,-0.49585691487551975,-0.06753571242426985,-0.2943092985276381,-0.31521720354133015,-0.09470670135491782,-0.31449680810643316,-0.16853092946163412,-0.17271405058436098,-0.21366947689964985,-0.23525317737533766,0.19366268190757763,0.04179581559599638,0.06246415288192594,-0.09923566854978721
-0.22924045065515974,0.723193500180566,-0.2583643958708256,0.35167025909702315,-0.3601994632080488,-0.15931921357104922,-0.4003401956490826,-0.17040456340006013,-0.42351107009538974,-0.16635591374544922,-0.21282116309493995,-0.35482862428599343,-0.011508184317769175,-0.28771110910437603,-0.10086350947598598,-0.17279893851138786,-0.11613713850363161,-0.30581465925064943,0.2476239424326075,0.094320959599937,0.07849233365539625,0.08406655450248895
-0.11209806436884975,0.6122572840787336,-0.16527931954810005,0.3002344363960202,-0.3043669724027534,-0.1526245440643625,-0.29128456523904295,-0.239275305848549,-0.30741003052104027,-0.2856071734447681,-0.11246584498678028,-0.3925767549210717,0.07616331696808466,-0.27119748936749655,-0.0352344605886376,-0.1739131773688862,-0.039921404287284794,-0.36826799807141253,0.2684729153655194,0.1441529498342131,0.07111371752200335,0.25039563698371603
-0.003408008082112314,0.47070119806202426,-0.076465695662218,0.23182456411081778,-0.2454289107379604,-0.1475524856294978,-0.18644793293939663,-0.2900229822852647,-0.18347237161243543,-0.36889624264893156,-0.010763453239793195,-0.4093033757160721,0.15907546464668143,-0.2501490549651675,0.028674724220663864,-0.18781900154654144,-0.007838946459120606,-0.4243023891570856,0.21223503848846337,0.19048480209165258,0.010883798610136133,0.39252638693597985
0.08910630153231244,0.29925051418302734,0.0032954269403796576,0.14673979134172457,-0.18319480569572807,-0.14246324787271447,-0.1020366973206505,-0.31833280884122683,-0.08753607681626652,-0.4209932328204283,0.08129900040345403,-0.413199544108969,0.2314590939972762,-0.23166242226335618,0.08531672284569088,-0.19934090584233188,0.13670333884213315,-0.46819025578182455,0.3349159237351837,0.23110616403757578,0.08317853688807865,0.5004833397336133
0.1647138416142557,0.1208796083286963,0.07260714052025039,0.05935953425358531,-0.11769078789225851,-0.13908393203546257,-0.037179079208671154,-0.32684805704571673,-0.024985562365338186,-0.447226099985852,0.15468548852763103,-0.39276247947374604,0.2870229621827417,-0.20523217382759731,0.13597697486762003,-0.21451831071834285,0.21557230468866517,-0.5014813370373925,0.35553441511063705,0.26095935116786745,0.08449395799571341,0.5694792767553625
0.23720453289122126,-0.05822129933289728,0.1386807679618615,-0.034064267194754895,-0.050686346187239696,-0.13860093941701104,0.016574560865111342,-0.3288952165447642,0.03416375069253259,-0.4665073229328676,0.21544374512285608,-0.3623008938791806,0.3226073729314099,-0.1747534198994144,0.17256598443086252,-0.22863470571249864,0.25744900917409946,-0.5197201150803965,0.337842320548337,0.26988049387014135,0.06766875966087334,0.5937289836222422
0.2915557332808901,-0.23743877689911197,0.19305788643875385,-0.13066550978720773,0.018123105645942016,-0.14079925445851432,0.07017917757879577,-0.324237645047417,0.08690986125632554,-0.4793766485132236,0.2578885321923678,-0.3335447060857528,0.3327568467624347,-0.14965613358209023,0.20545171643786936,-0.24222980378435693,0.2740693188049795,-0.5266872491092379,0.28965427698326046,0.3374058063957464,0.04232262524254268,0.6776059120962135
0.3319690621323289,-0.39710446210719375,0.23594748574219743,-0.2227951744681875,0.08343884126454504,-0.1455112694291636,0.1325019861138661,-0.3172373629766099,0.15289671969436375,-0.4793614532239972,0.2770940077870031,-0.3062500509837517,0.3147457073312231,-0.13636733064541456,0.22528441641385455,-0.25417957033991667,0.26904749685030527,-0.5274559995700123,0.22111554357020424,0.36936798032953083,0.01906266854299378,0.7091860123888124
0.3554054917028114,-0.5247701669833175,0.26475670345190233,-0.30042975842167,0.14053210494651203,-0.14935915581432957,0.16893200709388978,-0.3074121566616173,0.19006375712098772,-0.4707533534629398,0.2622225453295396,-0.27429180644724394,0.26507481507155584,-0.12468522022742383,0.23167575236839746,-0.2665347797224184,0.24907813166531706,-0.4870510270453161,0.13918145328613507,0.42382284391784864,-0.005959212722152697,0.7123956010137319
0.3706694749490121,-0.6188205199727382,0.28319536005071416,-0.3539997542427919,0.18995444656278385,-0.1426932346400972,0.20765936545108588,-0.2920564981160271,0.23729148594576563,-0.4572169584321382,0.21926208906040068,-0.23972320240011397,0.18144644480101024,-0.11362235226579116,0.22647793834925262,-0.27199484686117925,0.2127709603084316,-0.44014514160838386,0.045051414613521766,0.4690859730025859,-0.03182034857513442,0.6918081465636736
