"Control: 0,0","Control: 0,1","Control: 1,0","Control: 1,1","Control: 2,0","Control: 2,1","Control: 3,0","Control: 3,1","Control: 4,0","Control: 4,1","Control: 5,0","Control: 5,1","Control: 6,0","Control: 6,1","Control: 7,0","Control: 7,1","Control: 8,0","Control: 8,1","Control: 9,0","Control: 9,1","Control: 10,0","Control: 10,1"
0.04661446138538109,0.04383962719834988,0.047971768694283566,0.011996798419441103,0.05306507198730369,-0.015542127917227654,0.05445099989289911,-0.03408196495575933,0.0528157810578728,-0.04926922490464589,0.05227545169030179,-0.06032214780324367,0.053680731812942015,-0.06997017884687128,0.05449593297369924,-0.07638425098757405,0.056317423855217215,-0.07958495044544649,0.057642110022536185,-0.08029343123307725,0.056403610320303985,-0.08037980090055834
0.09094768256896779,0.07434639404749098,0.09268996348200643,0.040917957886359047,0.09794013244478852,0.013573623586361069,0.09960431806082987,-0.004597248871162536,0.09828540958363914,-0.020033038608848787,0.09801095718099628,-0.031145212630881026,0.09980818912862598,-0.0406912873192947,0.10096011169016986,-0.047337224434687956,0.10319454658130015,-0.050658475660606474,0.10526325956386047,-0.05127500060643614,0.10482681129029893,-0.05161035872593137
0.12188622486809526,0.09517023275958929,0.12400332273821184,0.06055403802547341,0.12935487199392506,0.033945505791364676,0.1313156189523466,0.016453019900543764,0.13031290551188762,0.001097690189539753,0.13048844818451996,-0.009935368931304847,0.13251923283388725,-0.019180068213428846,0.13415682208410645,-0.025966917695034633,0.13680728843717713,-0.029351815410204082,0.1395970720785637,-0.029881180216342305,0.14006218006894322,-0.03042558195597573
0.13763376823091428,0.10643704105107794,0.1400858845356861,0.07106656325075335,0.14552861231019457,0.04573930277787702,0.1477469533361687,0.029223706780402852,0.1471387387598491,0.01423372280307162,0.14782634635714342,0.0035106738404030386,0.15005451264531305,-0.005340868195760593,0.1522152147779018,-0.012119511935625368,0.15534303882900438,-0.01547921604726082,0.15878409761455667,-0.01602327933929707,0.16024850115095668,-0.016659730495982517
0.13816129372699273,0.10713897389035182,0.1408867005648929,0.07154751948210633,0.14643381138087927,0.047980820358909985,0.1488419711008274,0.03273153822171745,0.14875462716240564,0.018421269240654365,0.14990340468835842,0.00817744390845149,0.15242855108870632,-0.00014830313977152055,0.15500579609633697,-0.006791298907610592,0.15876612685903838,-0.010031384505285953,0.16271250542520288,-0.010696053993796204,0.165292483618238,-0.01131244212400987
0.12128917755614999,0.09884083494900481,0.12423081937247503,0.06367625475559238,0.12985662898033506,0.042278101086978534,0.1324666294362707,0.028559578244639543,0.13288910368168996,0.015280156299444068,0.13460721006220938,0.005618583758767339,0.13730357015283112,-0.002055642544866191,0.14046310188895716,-0.00834777103215445,0.14469050727383162,-0.01153669128729641,0.149256083103321,-0.012253735650956363,0.15290274462534925,-0.012859151791248523
0.094136684728682,0.08369860077688245,0.09716469801545256,0.04970260496265474,0.10295337507522595,0.030823746622601577,0.10563022246145842,0.01889877537812528,0.10671001286768601,0.006948865312444185,0.10888113788836176,-0.0020108162903760625,0.11185800985990581,-0.008950535627438177,0.1155167684113516,-0.014645006519754707,0.12023540552144224,-0.01789163478448987,0.1253751029819478,-0.018551184991078086,0.13011279708164686,-0.019191145427432825
0.058022929968837414,0.06529149643655541,0.06105541176174249,0.03317765388161256,0.06697597770349985,0.017305645931652593,0.06975104795066826,0.007215735003306549,0.0714067130972632,-0.0029805960279136613,0.0741292917653834,-0.011263634346243251,0.07725900338907257,-0.017275201820553733,0.08155073821777901,-0.022267212747785852,0.08655620110632144,-0.025544251945977467,0.09238611659434952,-0.026140929540431068,0.09814137591795793,-0.0268130296239321
0.01603838871399551,0.04530786066950423,0.018975492005212934,0.015934986747075434,0.025038782481625194,0.0033527486807473873,0.027844798441401673,-0.004661859349407176,0.030144914490904152,-0.01300667863633255,0.03325914541355219,-0.020394716088019127,0.03670246716031548,-0.025458308304678365,0.04144796388881946,-0.029624373111920607,0.04677529568924107,-0.032836174385196135,0.05322693293291718,-0.03345226872456501,0.060012117997553405,-0.034104275927901974
-0.0318032227758004,0.024539741304214373,-0.028986274391263563,-0.0013185591288671717,-0.022912477299450597,-0.010179641339215182,-0.019945532441426543,-0.016112248967053835,-0.017186776469308145,-0.02243739803288304,-0.013594158922812457,-0.028782313634077246,-0.00994921511065828,-0.03284477026323433,-0.004692354433202014,-0.03615526271147706,0.0007619018665598314,-0.03910193537631298,0.007921599330021772,-0.03990093256410821,0.01565924162732851,-0.04044398182712831
