"Control: 0,0","Control: 0,1","Control: 0,2","Control: 0,3","Control: 0,4","Control: 1,0","Control: 1,1","Control: 1,2","Control: 1,3","Control: 1,4","Control: 2,0","Control: 2,1","Control: 2,2","Control: 2,3","Control: 2,4","Control: 3,0","Control: 3,1","Control: 3,2","Control: 3,3","Control: 3,4","Control: 4,0","Control: 4,1","Control: 4,2","Control: 4,3","Control: 4,4","Control: 5,0","Control: 5,1","Control: 5,2","Control: 5,3","Control: 5,4","Control: 6,0","Control: 6,1","Control: 6,2","Control: 6,3","Control: 6,4","Control: 7,0","Control: 7,1","Control: 7,2","Control: 7,3","Control: 7,4","Control: 8,0","Control: 8,1","Control: 8,2","Control: 8,3","Control: 8,4","Control: 9,0","Control: 9,1","Control: 9,2","Control: 9,3","Control: 9,4","Control: 10,0","Control: 10,1","Control: 10,2","Control: 10,3","Control: 10,4"
0.00857723145063895,-0.004523286771223287,0.09698689543733172,0.06769423160880673,0.40471981853794586,-0.15418536368715247,0.05485234060779149,-0.11670841067385637,-0.20064016043882985,0.4068252818940301,-0.34485377080235846,0.13665841042225246,-0.23118354699777824,-0.4088926470008506,0.42559418602745747,-0.6956191864926919,0.4715390989524152,-0.5084319786046204,-0.7878490760310176,0.5386799688107984,-0.5591952695585852,0.7766690338690111,-0.015806065845638012,-0.2076098911015692,-0.4421035745894315,-0.29323936060479405,0.3820435078156256,0.6859951424699151,0.11582620751883005,-0.08233856098654012,-0.6500835569364696,0.7009974585193405,0.9600656293769242,-0.11194868398322187,0.14761517966927445,-0.43516107714574254,0.6436397616230857,0.5826903087257894,0.3704561062114626,-0.8744921655045206,-0.02687257777570053,0.20339827696066262,0.3854611084145359,0.3945970863944255,-0.9087161664781115,0.08726169864503297,0.07026339378733462,0.4782032479533079,0.5008311517153389,-0.7532622337093556,0.2278640784976078,-0.08279385492186869,0.5194579756347509,0.5633533132886384,-0.6398783604667435
-0.05457678348158811,0.0030794635243022975,0.08027548479803469,0.03508232848168377,0.3423420299789493,-0.2163213549253227,0.0874678372135107,-0.1265217314016019,-0.24223509318373596,0.35290368424679913,-0.41648979321595664,0.22628002809136918,-0.18199331907725813,-0.41531768576164163,0.37095432525102157,-0.7532455153630944,0.5644071441097636,-0.3615235704904842,-0.7218117568057392,0.5243915701341412,-0.5416816350351442,0.6339153111174083,-0.07677210475201368,-0.3234866381968993,-0.2990867383840867,-0.38612112615769306,0.36514229877506765,0.6272564025238773,0.5218494078539292,0.11341087527003876,-0.6441684660988833,0.7669037025350268,0.9655615822031997,0.4736192313937677,0.004842454816157097,-0.24395283557101952,0.5297821257781612,0.530699622272927,0.41502646796999193,-0.8124366400020814,0.2186653464162826,0.033869419212806055,0.4744820078331291,0.5536636626984804,-0.8434544396432052,0.22447159304703612,-0.03331663836057795,0.5504233106946269,0.5890299585155405,-0.6936339598613084,0.31355042155498286,-0.15660390784030861,0.5803743764781567,0.6211011811966168,-0.5332061334748069
-0.12901204170166458,0.024438110145090387,0.05747201865562389,-0.0010537592858918098,0.2701881123879876,-0.2818460448851988,0.126467364530825,-0.1298922171694681,-0.2760440855974115,0.29404880621058993,-0.4776604047731209,0.3064726640219047,-0.12826999369182326,-0.4070375730869084,0.3166201373169231,-0.7978085102550077,0.6373964928056247,-0.18415901455976166,-0.6138004150220387,0.4990266812845983,-0.5278217959884025,0.32199042726560206,-0.22502797430411883,-0.40470003775484115,-0.2926415392282408,-0.4253269963756792,0.20344159388328972,0.37783457393350556,0.5162708761829334,0.17327588666323882,-0.4816004655227478,0.8337825398714904,0.8717139403319549,0.6637268301001494,-0.11457224726640435,0.036884801709260055,0.417330378441328,0.4708081365897776,0.4635389951461041,-0.641283156784777,0.4509270268799979,-0.13715144469740947,0.5478774283219271,0.6760899386200505,-0.6266984123488093,0.34649215573975234,-0.13528897809198037,0.5965666959682836,0.6436975706942083,-0.5619878337792223,0.37596696990644274,-0.2167919162539466,0.6124269132699353,0.6474565722133335,-0.4002378314858413
-0.20848048763800048,0.05814003625438754,0.03283273169857183,-0.040403915958521754,0.19170750868258157,-0.3434583347881697,0.17042768111608456,-0.12753846812989642,-0.30136812718915673,0.2311172133644804,-0.5196467686871631,0.3744293055770849,-0.07072721072125551,-0.39167795394301186,0.26880687523495117,-0.8250053554597055,0.6960847434601496,0.013755056876232996,-0.4562201814537082,0.4727204716093615,-0.4986764622234872,0.11680381344747934,-0.3243379412231415,-0.41414496468214074,-0.3205241302816233,-0.2808784482958352,0.15692071332792953,0.16490810848253318,0.4181748499429362,0.18652226127309057,-0.11381560068369584,0.8833687827202874,0.7787475296059451,0.7223073557430416,-0.20927238955341285,0.31325834711206074,0.3179158878718885,0.40715797878968374,0.5027843681404774,-0.4032417691221622,0.6245247966496535,-0.28321266112439764,0.6002005337016011,0.7589715904943514,-0.2753437226723503,0.43295186789198603,-0.21570062474317703,0.6201221615971122,0.6718321823904693,-0.33919268283707227,0.4023190053326016,-0.2511378556343822,0.6199034114895812,0.6478421215684877,-0.23940652840873372
-0.2818111091023418,0.10077821322286411,0.0063069056558261345,-0.07372142530124223,0.11977878875998071,-0.3961388781728961,0.21919122262833424,-0.11739793504611741,-0.3103552064969432,0.1747584840489262,-0.5434108843018084,0.4338578962604139,-0.008546564774561479,-0.3513024897424353,0.23138916366218712,-0.8346587757555177,0.7431179048337752,0.21413376464769868,-0.2426433301450637,0.4435372716224792,-0.4317576787342163,-0.024610086024895596,-0.3543097468782694,-0.39408867086302674,-0.44007726253774326,-0.015774162244902523,0.15602315006696738,0.032624552413600336,0.2501098672833711,0.09308234609775501,0.35476271053289354,0.5512916069235954,0.6858176879470151,0.7306468945132433,-0.28297459821606336,0.5500346724846548,-0.1657512600718258,0.347168026755348,0.535717248009597,-0.15269117220498032,0.7110931427205592,-0.47555973819450187,0.6281066380515287,0.8054148032013729,0.09457367027175236,0.48144218756402973,-0.2893533411526575,0.623778667302143,0.682317632540637,-0.08852237480037228,0.3986328066832421,-0.26326071788048955,0.6108378211026849,0.6356633433580633,-0.07852269066331136
-0.34613024447613716,0.15122149400502166,-0.019077993327239445,-0.10611399498723234,0.05712204002314626,-0.43638755914056754,0.2661192650477588,-0.09594198514475354,-0.3077890213367484,0.1250982378131354,-0.5457774495426708,0.4766913551488616,0.06025653624617646,-0.2995389977850393,0.20174040304463894,-0.8229963122874921,0.7748961023645005,0.398008067301519,-0.008753285786737139,0.40419432870369637,-0.32314428425874353,-0.13785312966168697,-0.3589346561250046,-0.35744230757403206,-0.4719701506259726,0.21172611578451866,0.15580287544873878,-0.05242674570951769,0.08388123576703263,0.08149771609523729,0.7215855068497363,0.10770567533882748,0.5995628234696166,0.7317528173307222,-0.34026509867458893,0.7309145743641805,-0.6804821265628266,0.29798697956411146,0.5607325185326701,0.06290246883505113,0.7502568543463266,-0.5980526850308864,0.634312842610358,0.8258017507771712,0.395606308601095,0.5046691875076659,-0.33915411643967236,0.6052414091126082,0.6742183708229309,0.1390274294021819,0.374478730461494,-0.2539212700856728,0.5786154779772729,0.6047028288319323,0.06124622705017063
-0.3982477415923601,0.20820885534849545,-0.039522950266402665,-0.13931666133354306,0.0013860957780673332,-0.4625786502603801,0.3108953926343215,-0.06421424377257853,-0.29458589864417045,0.08331849302783399,-0.5264761536880362,0.5017042247414305,0.13152117293484228,-0.23447254594914038,0.1804174082418959,-0.7778269768710613,0.7878908411640284,0.5468895464914835,0.2193545611624885,0.34712223764450734,-0.23548628638980407,-0.22936000985112048,-0.2883107320808171,-0.30992644271138126,-0.4802692920902467,0.26449475704491965,0.13939189397547586,-0.029463124061092315,-0.05884790404981494,0.06608603255230537,0.8566812631218977,0.024322672138560063,0.5169400316959853,0.7276083902779318,-0.3843035560194753,0.8265698051073943,-0.7345017100577707,0.25613580392790897,0.5806678606196283,0.2443923254006399,0.7746652931697221,-0.6436242188891926,0.6180712727245271,0.8273264882794502,0.606271859263892,0.5072973958928552,-0.36564413603765566,0.5693480464527153,0.6519351596046171,0.31051769231866755,0.32886341807672864,-0.22920953362667024,0.5315569708695087,0.5608350049585237,0.1661214466828245
-0.4436659546737613,0.25737477139678616,-0.051951601731237834,-0.16156933756121072,-0.03633874769006229,-0.47705349603495006,0.3451190836135012,-0.02276346577296194,-0.26213934342333756,0.05446857049973993,-0.48924596967136164,0.5122758528669344,0.20134165888617842,-0.15258089971566843,0.16322150553331188,-0.6417574694907316,0.7834026724774509,0.6475266304384636,0.4145219720011191,0.2677936238480029,-0.06290081261023313,-0.31301093740935176,-0.2428007931687697,-0.19463221228909597,-0.492969408476581,0.25934473760318977,0.0724474216960267,0.0023807858189697044,-0.11076515095653588,0.02968496858807786,0.8392161313471362,-0.06636070418140896,0.43568232894105086,0.712566697204399,-0.41673547304159475,0.8451515231878313,-0.7528303728021707,0.2140469068637443,0.5952812312330853,0.3933831191215746,0.788908264046912,-0.6768113024969569,0.5682846242484191,0.8114521980299427,0.7290127458905721,0.496945662856529,-0.3768859602927644,0.5055570331499036,0.609826425985571,0.42273180426351703,0.27549128908410625,-0.19113787846148073,0.46205931263913674,0.49365440906254054,0.23488771067017084
-0.47631885505357835,0.30668695215303565,-0.05858585730928359,-0.17766464400870496,-0.059368740043311705,-0.4777195997205887,0.3762679609528598,0.024855941971487643,-0.21496101206096352,0.039060298347141774,-0.43990268382422215,0.5115853781889144,0.2721382279079411,-0.05815261145489548,0.15288033394057368,-0.3801456647230704,0.7419975328269263,0.7111040518913605,0.5520528747427835,0.1730583552718217,0.22065996635939958,-0.4079750648267594,-0.22021817268365318,-0.11697781676096855,-0.5043852924454125,0.2462635375245789,-0.07082619489945235,0.03569551227143501,-0.14425089419397924,-0.02059823973813246,0.7942548033760111,-0.23824737213981645,0.35145097383731777,0.6812355178042114,-0.4335537994220435,0.8580898764310622,-0.7716328625083205,0.16724030042702867,0.598254731643062,0.5214842367891471,0.7951991953043321,-0.6972157693495064,0.48931199954321564,0.7726389142284769,0.7835633082072881,0.4728731486432945,-0.37272724953109326,0.41855091519236604,0.5528268391210113,0.4737225255118558,0.20888989568958935,-0.14406751242039226,0.37420473354176864,0.4212663447812471,0.2545823414526408
-0.49327814503246553,0.3484264719496808,-0.06021041169315933,-0.17962954376908738,-0.06599607494185071,-0.4626597937915125,0.3977957632743819,0.07720738498593141,-0.15410571730326125,0.03481464574077349,-0.3787668569771794,0.49752796633524116,0.3414800227568136,0.04213634105601729,0.13784945926725253,-0.042297814348135065,0.6053149944233603,0.7532265113979835,0.6438816973415173,0.06441268596056195,0.5704632165288076,-0.5685874626192078,-0.2040990353421583,-0.029547210709748847,-0.5035188140749325,0.24257279238120047,-0.2798582116954611,-0.04067645241702807,-0.15211977021733214,-0.07448996076733105,0.7434258509126688,-0.4732334201073221,0.1548086085959864,0.6283227554935458,-0.43225652647961127,0.8700955083932045,-0.7911778071842094,0.11290705921564001,0.5735366284576418,0.6259714681114369,0.7929573884250339,-0.7076543576044826,0.3769357078512674,0.6966461027850299,0.7929329252561516,0.43886616159860165,-0.3584043842178106,0.30965913278062346,0.46383233114849365,0.4864853436830159,0.13776357003195888,-0.09415952976383955,0.2724571443515533,0.32220009604786914,0.2439999294876187
